PARAMETERID,N Rows,Parameter Type,Center Type,Mean Parameter Center,Mean Parameter Std Dev,StdDev Parameter Mean,StdDev Parameter Std Dev,Ref Tool Name,Ref Data Source,Parameter LSL,Parameter Target,Parameter USL,Mean Parameter TTD,StdDev Parameter TTD,StdDev Parameter CL,StdDev Parameter UCL,Mean Parameter LCL,Mean Parameter CL,Mean Parameter UCL
BOW,30,,,,,,,,,,,,,,,,,,
BSL,30,,,,,,,,,,,,,,,,,,
BSW,30,,,,,,,,,,,,,,,,,,
EL,30,,,,,,,,,,,,,,,,,,
OL,30,,,,,,,,,,,,,,,,,,
POCKET-1 X Bottom,30,,,,,,,,,,,,,,,,,,
POCKET-1 X Top,30,,,,,,,,,,,,,,,,,,
POCKET-1 Y Bottom,30,,,,,,,,,,,,,,,,,,
POCKET-1 Y Top,30,,,,,,,,,,,,,,,,,,
POCKET-2 X Bottom,30,,,,,,,,,,,,,,,,,,
POCKET-2 X Top,30,,,,,,,,,,,,,,,,,,
POCKET-2 Y Bottom,30,,,,,,,,,,,,,,,,,,
POCKET-2 Y Top,30,,,,,,,,,,,,,,,,,,
POCKET-3 X Bottom,30,,,,,,,,,,,,,,,,,,
POCKET-3 X Top,30,,,,,,,,,,,,,,,,,,
POCKET-3 Y Bottom,30,,,,,,,,,,,,,,,,,,
POCKET-3 Y Top,30,,,,,,,,,,,,,,,,,,
ST(A),30,,,,,,,,,,,,,,,,,,
ST(B),30,,,,,,,,,,,,,,,,,,
ST(C),30,,,,,,,,,,,,,,,,,,
ST(D),30,,,,,,,,,,,,,,,,,,
ST(E),30,,,,,,,,,,,,,,,,,,
ST(F),30,,,,,,,,,,,,,,,,,,
TOW,30,,,,,,,,,,,,,,,,,,
TSL,30,,,,,,,,,,,,,,,,,,
TSW,30,,,,,,,,,,,,,,,,,,
TT,30,,,,,,,,,,,,,,,,,,
