Meas,Label,Data
0,EL,322.606
0,OL,315.147
0,TOW,135.926
0,BOW,135.87
0,TSL,311.271
0,BSL,311.8
0,TSW,132.146
0,BSW,132.816
0,TT,12.153
0,ST(A),10.139
0,ST(B),10.108
0,ST(C),10.134
0,ST(D),10.142
0,ST(E),10.123
0,ST(F),10.138
0,POCKET-1 X Top,25.298
0,POCKET-2 X Top,25.285
0,POCKET-3 X Top,25.291
0,POCKET-1 Y Top,40.29
0,POCKET-2 Y Top,40.292
0,POCKET-3 Y Top,40.264
0,POCKET-1 X Bottom,25.253
0,POCKET-2 X Bottom,25.261
0,POCKET-3 X Bottom,25.269
0,POCKET-1 Y Bottom,40.243
0,POCKET-2 Y Bottom,40.233
0,POCKET-3 Y Bottom,40.255
1,EL,322.592
1,OL,315.141
1,TOW,135.936
1,BOW,135.865
1,TSL,311.273
1,BSL,311.795
1,TSW,132.141
1,BSW,132.822
1,TT,12.156
1,ST(A),10.15
1,ST(B),10.101
1,ST(C),10.134
1,ST(D),10.151
1,ST(E),10.124
1,ST(F),10.141
1,POCKET-1 X Top,25.298
1,POCKET-2 X Top,25.275
1,POCKET-3 X Top,25.288
1,POCKET-1 Y Top,40.286
1,POCKET-2 Y Top,40.287
1,POCKET-3 Y Top,40.273
1,POCKET-1 X Bottom,25.252
1,POCKET-2 X Bottom,25.256
1,POCKET-3 X Bottom,25.279
1,POCKET-1 Y Bottom,40.234
1,POCKET-2 Y Bottom,40.23
1,POCKET-3 Y Bottom,40.256
2,EL,322.599
2,OL,315.137
2,TOW,135.927
2,BOW,135.884
2,TSL,311.273
2,BSL,311.8
2,TSW,132.153
2,BSW,132.817
2,TT,12.155
2,ST(A),10.131
2,ST(B),10.111
2,ST(C),10.126
2,ST(D),10.141
2,ST(E),10.117
2,ST(F),10.141
2,POCKET-1 X Top,25.308
2,POCKET-2 X Top,25.282
2,POCKET-3 X Top,25.292
2,POCKET-1 Y Top,40.288
2,POCKET-2 Y Top,40.293
2,POCKET-3 Y Top,40.258
2,POCKET-1 X Bottom,25.25
2,POCKET-2 X Bottom,25.267
2,POCKET-3 X Bottom,25.268
2,POCKET-1 Y Bottom,40.237
2,POCKET-2 Y Bottom,40.23
2,POCKET-3 Y Bottom,40.245
3,EL,322.615
3,OL,315.15
3,TOW,135.929
3,BOW,135.865
3,TSL,311.279
3,BSL,311.796
3,TSW,132.138
3,BSW,132.803
3,TT,12.147
3,ST(A),10.15
3,ST(B),10.099
3,ST(C),10.123
3,ST(D),10.149
3,ST(E),10.122
3,ST(F),10.142
3,POCKET-1 X Top,25.305
3,POCKET-2 X Top,25.296
3,POCKET-3 X Top,25.296
3,POCKET-1 Y Top,40.29
3,POCKET-2 Y Top,40.287
3,POCKET-3 Y Top,40.262
3,POCKET-1 X Bottom,25.246
3,POCKET-2 X Bottom,25.264
3,POCKET-3 X Bottom,25.277
3,POCKET-1 Y Bottom,40.243
3,POCKET-2 Y Bottom,40.236
3,POCKET-3 Y Bottom,40.259
4,EL,322.601
4,OL,315.146
4,TOW,135.922
4,BOW,135.862
4,TSL,311.26
4,BSL,311.786
4,TSW,132.139
4,BSW,132.816
4,TT,12.146
4,ST(A),10.144
4,ST(B),10.109
4,ST(C),10.138
4,ST(D),10.144
4,ST(E),10.12
4,ST(F),10.135
4,POCKET-1 X Top,25.288
4,POCKET-2 X Top,25.278
4,POCKET-3 X Top,25.301
4,POCKET-1 Y Top,40.286
4,POCKET-2 Y Top,40.296
4,POCKET-3 Y Top,40.274
4,POCKET-1 X Bottom,25.248
4,POCKET-2 X Bottom,25.255
4,POCKET-3 X Bottom,25.27
4,POCKET-1 Y Bottom,40.238
4,POCKET-2 Y Bottom,40.226
4,POCKET-3 Y Bottom,40.256
5,EL,322.608
5,OL,315.132
5,TOW,135.925
5,BOW,135.88
5,TSL,311.282
5,BSL,311.79
5,TSW,132.156
5,BSW,132.823
5,TT,12.149
5,ST(A),10.136
5,ST(B),10.105
5,ST(C),10.137
5,ST(D),10.147
5,ST(E),10.113
5,ST(F),10.129
5,POCKET-1 X Top,25.297
5,POCKET-2 X Top,25.289
5,POCKET-3 X Top,25.294
5,POCKET-1 Y Top,40.282
5,POCKET-2 Y Top,40.301
5,POCKET-3 Y Top,40.258
5,POCKET-1 X Bottom,25.252
5,POCKET-2 X Bottom,25.271
5,POCKET-3 X Bottom,25.269
5,POCKET-1 Y Bottom,40.233
5,POCKET-2 Y Bottom,40.226
5,POCKET-3 Y Bottom,40.263
6,EL,322.589
