PARAMETERID,Parameter LSL,Parameter Target,Parameter USL
BOW,135.9,135.65,136.15
BSL,311.66,311.53,311.91
BSW,132.59,132.46,132.84
EL,322.6,322.35,322.85
OL,315.0,314.75,315.25
POCKET-1 X Bottom,25.26,25.180000000000003,25.34
POCKET-1 X Top,25.26,25.180000000000003,25.34
POCKET-1 Y Bottom,40.26,40.18,40.339999999999996
POCKET-1 Y Top,40.26,40.18,40.339999999999996
POCKET-2 X Bottom,25.26,25.180000000000003,25.34
POCKET-2 X Top,25.26,25.180000000000003,25.34
POCKET-2 Y Bottom,40.26,40.18,40.339999999999996
POCKET-2 Y Top,40.26,40.18,40.339999999999996
POCKET-3 X Bottom,25.26,25.180000000000003,25.34
POCKET-3 X Top,25.26,25.180000000000003,25.34
POCKET-3 Y Bottom,40.26,40.18,40.339999999999996
POCKET-3 Y Top,40.26,40.18,40.339999999999996
ST(A),10.16,10.03,10.29
ST(B),10.16,10.03,10.29
ST(C),10.16,10.03,10.29
ST(D),10.16,10.03,10.29
ST(E),10.16,10.03,10.29
ST(F),10.16,10.03,10.29
TOW,135.9,135.65,136.15
TSL,311.15,311.02,311.4
TSW,132.08,131.95,132.33
TT,12.19,12.06,12.32
